point_short_code,point_long_code,address_full,geometry
021,09021,1410 Dupont St,"{'type': 'MultiPoint', 'coordinates': [[-79.4474258737937, 43.6669749651066]]}"
026,25026,30 Durnford Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1512873936937, 43.7993862553854]]}"
022,09022,1477 Dufferin St,"{'type': 'MultiPoint', 'coordinates': [[-79.4402927050095, 43.6721188639003]]}"
026,09026,789 Dovercourt Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4294393200467, 43.6624514846423]]}"
023,09023,1260 Dufferin St,"{'type': 'MultiPoint', 'coordinates': [[-79.4392706076072, 43.6673150084825]]}"
025,25025,185 Generation Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.1638346582217, 43.8027223090495]]}"
027,09027,130 Shanly St,"{'type': 'MultiPoint', 'coordinates': [[-79.4349208399043, 43.6636047930609]]}"
057,13057,14 Pembroke St,"{'type': 'MultiPoint', 'coordinates': [[-79.3723195931078, 43.6565828383347]]}"
077,13077,112 George St,"{'type': 'MultiPoint', 'coordinates': [[-79.3716362148495, 43.6519371852766]]}"
024,09024,228 Bartlett Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4357789540645, 43.666735610558]]}"
002,01002,202 Mount Olive Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5964455179149, 43.7533579130158]]}"
025,09025,180 Westmoreland Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4326922894381, 43.6658064451561]]}"
031,13031,85 Bleecker St,"{'type': 'MultiPoint', 'coordinates': [[-79.3725488306269, 43.665039838589]]}"
065,17065,2 Buchan Crt,"{'type': 'MultiPoint', 'coordinates': [[-79.3594512166123, 43.7730656068672]]}"
052,09052,45 Lisgar St,"{'type': 'MultiPoint', 'coordinates': [[-79.4228191815781, 43.6418104498901]]}"
065,13065,220 Oak St,"{'type': 'MultiPoint', 'coordinates': [[-79.3577564444185, 43.6630613843896]]}"
075,13075,79 Richmond St E,"{'type': 'MultiPoint', 'coordinates': [[-79.3745020471162, 43.6524677569118]]}"
010,15010,25 Old York Mills Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4043124025676, 43.7434039455178]]}"
