point_short_code,point_long_code,geometry
041,20041,"{'type': 'MultiPoint', 'coordinates': [[-79.259816624788, 43.7017413937537]]}"
042,20042,"{'type': 'MultiPoint', 'coordinates': [[-79.2671279279676, 43.7071912568456]]}"
029,20029,"{'type': 'MultiPoint', 'coordinates': [[-79.2411154201694, 43.7261289165667]]}"
030,20030,"{'type': 'MultiPoint', 'coordinates': [[-79.2391024579687, 43.7204595701913]]}"
031,20031,"{'type': 'MultiPoint', 'coordinates': [[-79.2404353720764, 43.7147788010578]]}"
033,20033,"{'type': 'MultiPoint', 'coordinates': [[-79.2490593761566, 43.7141086801971]]}"
024,12024,"{'type': 'MultiPoint', 'coordinates': [[-79.3912541002801, 43.7032766970911]]}"
011,12011,"{'type': 'MultiPoint', 'coordinates': [[-79.4208022291975, 43.7022301877205]]}"
002,20002,"{'type': 'MultiPoint', 'coordinates': [[-79.2936158401158, 43.7101599387009]]}"
049,20049,"{'type': 'MultiPoint', 'coordinates': [[-79.284678579475, 43.7014077642869]]}"
009,18009,"{'type': 'MultiPoint', 'coordinates': [[-79.4236071352384, 43.7866244564501]]}"
040,12040,"{'type': 'MultiPoint', 'coordinates': [[-79.3958101148592, 43.6902712451835]]}"
049,12049,"{'type': 'MultiPoint', 'coordinates': [[-79.4188548637874, 43.6852931154525]]}"
026,20026,"{'type': 'MultiPoint', 'coordinates': [[-79.2256018786147, 43.732648962951]]}"
028,20028,"{'type': 'MultiPoint', 'coordinates': [[-79.2296265608002, 43.7235532119492]]}"
054,12054,"{'type': 'MultiPoint', 'coordinates': [[-79.4322064448468, 43.6829136856874]]}"
059,12059,"{'type': 'MultiPoint', 'coordinates': [[-79.4240949244547, 43.6799588393058]]}"
061,12061,"{'type': 'MultiPoint', 'coordinates': [[-79.4188691994591, 43.6818255335789]]}"
032,20032,"{'type': 'MultiPoint', 'coordinates': [[-79.2512015337097, 43.7173721859834]]}"
034,20034,"{'type': 'MultiPoint', 'coordinates': [[-79.2417968940952, 43.7099825934536]]}"
021,15021,"{'type': 'MultiPoint', 'coordinates': [[-79.3895057084414, 43.7199314988808]]}"
016,15016,"{'type': 'MultiPoint', 'coordinates': [[-79.3778753698132, 43.7219376454118]]}"
001,22001,"{'type': 'MultiPoint', 'coordinates': [[-79.3278303529869, 43.8136943030972]]}"
031,03031,"{'type': 'MultiPoint', 'coordinates': [[-79.4901975062684, 43.6344998506233]]}"
035,03035,"{'type': 'MultiPoint', 'coordinates': [[-79.50575712972, 43.625438666049]]}"
002,11002,"{'type': 'MultiPoint', 'coordinates': [[-79.4203298154889, 43.662402292334]]}"
006,11006,"{'type': 'MultiPoint', 'coordinates': [[-79.4156792413481, 43.6714099856944]]}"
008,11008,"{'type': 'MultiPoint', 'coordinates': [[-79.4102575107428, 43.6689998744924]]}"
040,22040,"{'type': 'MultiPoint', 'coordinates': [[-79.3002623454523, 43.7944199052402]]}"
034,03034,"{'type': 'MultiPoint', 'coordinates': [[-79.5165287773095, 43.6236069289472]]}"
036,03036,"{'type': 'MultiPoint', 'coordinates': [[-79.5009553836076, 43.6257451246799]]}"
032,03032,"{'type': 'MultiPoint', 'coordinates': [[-79.5039309346666, 43.6308148274845]]}"
006,07006,"{'type': 'MultiPoint', 'coordinates': [[-79.5268106869839, 43.7711639591637]]}"
016,07016,"{'type': 'MultiPoint', 'coordinates': [[-79.5160062317487, 43.7590998562982]]}"
061,02061,"{'type': 'MultiPoint', 'coordinates': [[-79.5616948758766, 43.6491679256634]]}"
028,21028,"{'type': 'MultiPoint', 'coordinates': [[-79.3030774247849, 43.7440620052931]]}"
051,03051,"{'type': 'MultiPoint', 'coordinates': [[-79.4773004743245, 43.6261937281605]]}"
006,01006,"{'type': 'MultiPoint', 'coordinates': [[-79.5957518765444, 43.7500111297374]]}"
050,13050,"{'type': 'MultiPoint', 'coordinates': [[-79.3819244608602, 43.6610937912384]]}"
003,03003,"{'type': 'MultiPoint', 'coordinates': [[-79.5079140179305, 43.6529169297955]]}"
024,21024,"{'type': 'MultiPoint', 'coordinates': [[-79.2986099098297, 43.7609783982559]]}"
035,21035,"{'type': 'MultiPoint', 'coordinates': [[-79.2743686233671, 43.7492923762038]]}"
