_id,POINT_ID,POINT_TYPE_ID,POINT_TYPE,FEATURE_CODE,FEATURE_CODE_DESC,POINT_SHORT_CODE,POINT_LONG_CODE,POINT_NAME,POINT_DESC,REF_FEATURE_TYPE,REF_FEATURE_ID_SPAT,REF_FEATURE_ID_TAB,SOURCE_FEATURE_TYPE,SOURCE_FEATURE_ID,VOTER_COUNT,OBJECTID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,geometry
849,11336,,VOTING_LOCATION,P,Primary,043,14043,S.H. Armstrong Community Centre - Building Grounds,None,None,,,ADDRESS_POINT,885738,3867,2811,56,Woodfield Rd,56 Woodfield Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3227579908163, 43.6658171225896]]}"
850,10536,,VOTING_LOCATION,P,Primary,011,14011,Westwood Park,None,None,,,ADDRESS_POINT,3232918,2705,2814,994,Carlaw Ave,994 Carlaw Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3509795618846, 43.6864953869061]]}"
851,10339,,VOTING_LOCATION,P,Primary,012,14012,None,None,None,,,ADDRESS_POINT,18315,2515,2815,958,Broadview Ave,958 Broadview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3578425710779, 43.6818480580923]]}"
852,11626,,VOTING_LOCATION,P,Primary,020,14020,Calvary Church,None,None,,,ADDRESS_POINT,10367837,1988,2816,746,Pape Ave,746 Pape Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3458056322592, 43.6806280526051]]}"
853,10485,,VOTING_LOCATION,P,Primary,015,14015,Jackman Avenue Junior Public School,None,None,,,ADDRESS_POINT,825367,2350,2817,79,Jackman Ave,79 Jackman Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3539353612732, 43.6806502154921]]}"
854,10620,,VOTING_LOCATION,P,Primary,051,14051,Jimmie Simpson Park,None,None,,,ADDRESS_POINT,855690,2029,2818,870,Queen St E,870 Queen St E,"{'type': 'MultiPoint', 'coordinates': [[-79.3453298607431, 43.6604435343298]]}"
855,10489,,VOTING_LOCATION,P,Primary,026,14026,Monarch Park Collegiate,None,None,,,ADDRESS_POINT,2565760,1448,2819,1,Hanson St,1 Hanson St,"{'type': 'MultiPoint', 'coordinates': [[-79.3227718925618, 43.6792807307855]]}"
856,10014,,VOTING_LOCATION,P,Primary,027,14027,St. Patrick Catholic Secondary School,None,None,,,ADDRESS_POINT,6355204,2128,2820,49,Felstead Ave,49 Felstead Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3276494865718, 43.6783223029713]]}"
857,12010,,VOTING_LOCATION,P,Primary,016,08016,Yorkdale Secondary School,None,None,,,ADDRESS_POINT,12789760,680,2821,38,Orfus Rd,38 Orfus Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4597250980034, 43.7201620650265]]}"
858,11014,,VOTING_LOCATION,P,Primary,056,21056,None,None,None,,,ADDRESS_POINT,30040234,1715,2822,1527,Victoria Park Ave,1527 Victoria Park Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3024262160872, 43.7263487034875]]}"
859,10890,,VOTING_LOCATION,P,Primary,052,14052,Queen Alexandra Middle School,None,None,,,ADDRESS_POINT,6350054,3206,2823,181,Broadview Ave,181 Broadview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3500911323149, 43.6616429603441]]}"
860,10006,,VOTING_LOCATION,P,Primary,035,08035,Ledbury Elementary Middle School,None,None,,,ADDRESS_POINT,7110840,2729,2824,95,Falkirk St,95 Falkirk St,"{'type': 'MultiPoint', 'coordinates': [[-79.4271823065033, 43.7274253087965]]}"
861,10257,,VOTING_LOCATION,P,Primary,059,21059,Glen Ravine Junior Public School,None,None,,,ADDRESS_POINT,9086409,1352,2825,11,Gadsby Dr,11 Gadsby Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2540589454282, 43.7382246272196]]}"
862,11478,,VOTING_LOCATION,P,Primary,037,08037,John Wanless Junior Public School,None,None,,,ADDRESS_POINT,13503695,2826,2826,245,Fairlawn Ave,245 Fairlawn Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4120566947699, 43.7288686420148]]}"
863,12033,,VOTING_LOCATION,P,Primary,065,21065,St. Nicholas Catholic School,None,None,,,ADDRESS_POINT,301461,2698,2827,33,Amarillo Dr,33 Amarillo Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.232893649722, 43.7477332879854]]}"
864,11741,,VOTING_LOCATION,P,Primary,061,21061,None,None,None,,,ADDRESS_POINT,8985455,2434,2828,2850,Eglinton Ave E,2850 Eglinton Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.24070575989, 43.7388885327578]]}"
865,11348,,VOTING_LOCATION,P,Primary,047,21047,Hunter's Glen Junior Public School,None,None,,,ADDRESS_POINT,341682,1638,2829,16,Haileybury Dr,16 Haileybury Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2601219894519, 43.7457122545676]]}"
866,11568,,VOTING_LOCATION,P,Primary,060,21060,St Davids Presbyterian Church,None,None,,,ADDRESS_POINT,9011636,907,2830,1290,Danforth Rd,1290 Danforth Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2460902976952, 43.7407551955039]]}"
867,10830,,VOTING_LOCATION,P,Primary,036,08036,Melrose Baptist Church,None,None,,,ADDRESS_POINT,542320,2411,2831,375,Melrose Ave,375 Melrose Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4196620041354, 43.7294200664463]]}"
868,10930,,VOTING_LOCATION,P,Primary,042,08042,Glenview Senior Public School,None,None,,,ADDRESS_POINT,862164,1360,2833,401,Rosewell Ave,401 Rosewell Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.409524700301, 43.7199764434722]]}"
869,11198,,VOTING_LOCATION,P,Primary,046,08046,Viewmount Park,None,None,,,ADDRESS_POINT,20037746,1036,2834,169,Viewmount Ave,169 Viewmount Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4372414776401, 43.7074931435869]]}"
870,11197,,VOTING_LOCATION,P,Primary,047,08047,Sts. Cosmas and Damian Catholic School,None,None,,,ADDRESS_POINT,9035656,3506,2835,111,Danesbury Ave,111 Danesbury Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4444258865575, 43.7069342288817]]}"
871,12026,,VOTING_LOCATION,P,Primary,002,15002,Trinity Presbyterian Church,None,None,,,ADDRESS_POINT,487696,1941,2836,2737,Bayview Ave,2737 Bayview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3858567406626, 43.7609756730892]]}"
872,12027,,VOTING_LOCATION,P,Primary,001,15001,Fairmeadow Centre,None,None,,,ADDRESS_POINT,30028626,1681,2837,17,Fairmeadow Ave,17 Fairmeadow Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3972138944047, 43.754688128517]]}"
873,10395,,VOTING_LOCATION,P,Primary,003,15003,Harrison Public School,None,None,,,ADDRESS_POINT,525261,2056,2838,81,Harrison Rd,81 Harrison Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3773086129257, 43.7573684747214]]}"
874,11407,,VOTING_LOCATION,P,Primary,005,15005,Windfields Junior High School,None,None,,,ADDRESS_POINT,486113,2035,2839,375,Banbury Rd,375 Banbury Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3705792903782, 43.7561115796205]]}"
875,10786,,VOTING_LOCATION,P,Primary,039,15039,Thorncliffe Park Public School,None,None,,,ADDRESS_POINT,3829444,2183,2840,80,Thorncliffe Park Dr,80 Thorncliffe Park Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3434367551101, 43.7053900432282]]}"
876,10165,,VOTING_LOCATION,P,Primary,040,15040,None,None,None,,,ADDRESS_POINT,14188550,1512,2841,85-95,Thorncliffe Park Dr,85-95 Thorncliffe Park Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3412228535809, 43.707223806854]]}"
877,10331,,VOTING_LOCATION,P,Primary,050,15050,Leaside Public Public Library,None,None,,,ADDRESS_POINT,3256200,1017,2842,165,McRae Dr,165 McRae Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.367559817407, 43.7064608248643]]}"
878,10736,,VOTING_LOCATION,P,Primary,051,15051,Bessborough Drive Public School,None,None,,,ADDRESS_POINT,17935,2508,2843,211,Bessborough Dr,211 Bessborough Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3701352031944, 43.7072147378542]]}"
879,11330,,VOTING_LOCATION,P,Primary,054,15054,Bennington Heights School,None,None,,,ADDRESS_POINT,2945619,769,2844,76,Bennington Heights Dr,76 Bennington Heights Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3687780820258, 43.6939854007409]]}"
880,10364,,VOTING_LOCATION,P,Primary,055,15055,Maurice Cody Community Centre - Building Grounds,None,None,,,ADDRESS_POINT,6868879,2666,2845,181,Cleveland St,181 Cleveland St,"{'type': 'MultiPoint', 'coordinates': [[-79.3783467187897, 43.704880659962]]}"
881,10932,,VOTING_LOCATION,P,Primary,056,15056,Hodgson Senior Public School,None,None,,,ADDRESS_POINT,7324242,2665,2846,282,Davisville Ave,282 Davisville Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3847932929072, 43.7010950019854]]}"
882,11038,,VOTING_LOCATION,P,Primary,057,15057,Manor Road United Church,None,None,,,ADDRESS_POINT,837878,2440,2847,240,Manor Rd E,240 Manor Rd E,"{'type': 'MultiPoint', 'coordinates': [[-79.3855648318802, 43.705133866919]]}"
883,12030,,VOTING_LOCATION,P,Primary,006,16006,Fenside Public School,None,None,,,ADDRESS_POINT,515284,1737,2848,131,Fenside Dr,131 Fenside Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3291265799904, 43.7645805189835]]}"
884,11020,,VOTING_LOCATION,P,Primary,048,08048,Medhanie Alem Eritrean,None,None,,,ADDRESS_POINT,9655495,2865,2849,1,Ramsden Rd,1 Ramsden Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4524225215947, 43.69618977734]]}"
885,10293,,VOTING_LOCATION,P,Primary,044,08044,Shaarei Shomayim Congregation,None,None,,,ADDRESS_POINT,520666,2590,2850,470,Glencairn Ave,470 Glencairn Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4269999857821, 43.713099765348]]}"
886,10898,,VOTING_LOCATION,P,Primary,083,11083,None,None,None,,,ADDRESS_POINT,10906647,932,2851,717,Bay St,717 Bay St,"{'type': 'MultiPoint', 'coordinates': [[-79.3848110092617, 43.6590666449777]]}"
887,10635,,VOTING_LOCATION,P,Primary,010,14010,Bethany Baptist Church,None,None,,,ADDRESS_POINT,31298,1522,2852,1041,Pape Ave,1041 Pape Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3484697281964, 43.6892101471008]]}"
